epoch,learning_rate,total_loss,val_total_loss
0,0.0001250000059371814,19.020666122436523,27.42039680480957
1,0.0002500000118743628,13.12781810760498,18.722074508666992
2,0.0006249999860301614,13.08013916015625,15.395611763000488
3,0.0012499999720603228,13.032730102539062,13.828278541564941
4,0.0012499616714194417,12.965876579284668,13.249106407165527
5,0.001249846420250833,12.910052299499512,13.018363952636719
6,0.0012496544513851404,12.836599349975586,12.971134185791016
7,0.001249385648407042,12.78592586517334,12.978432655334473
8,0.0012490403605625033,12.726110458374023,12.963339805603027
9,0.0012486182386055589,12.692307472229004,13.014179229736328
10,0.0012481195153668523,12.641977310180664,12.859196662902832
11,0.0012475443072617054,12.608267784118652,12.710685729980469
12,0.0012468924978747964,12.569570541381836,12.632079124450684
