epoch,learning_rate,total_loss,val_total_loss
0,0.0001250000059371814,19.358558654785156,27.402864456176758
1,0.0002500000118743628,13.12793254852295,18.84195327758789
2,0.0006249999860301614,13.085554122924805,15.49243450164795
3,0.0012499999720603228,13.038076400756836,13.992725372314453
4,0.0012499616714194417,12.967668533325195,13.36219310760498
5,0.001249846420250833,12.905477523803711,13.1326904296875
6,0.0012496544513851404,12.815691947937012,13.050267219543457
7,0.001249385648407042,12.755308151245117,13.02988052368164
8,0.0012490403605625033,12.719911575317383,13.00302791595459
9,0.0012486182386055589,12.663895606994629,12.928414344787598
